0.5,	1.397
0.7,	1.438
1.0,	1.511
1.5,	1.612
2.0,	1.696
3.0,	1.832
4.0,	1.942
5.0,	2.034
8.0,	2.247
10.0,	2.356
12.0,	2.448
16.0,	2.6
20.0,	2.721
32.0,	2.982
64.0,	3.352
